chr	name	start	end	strand	sample	organ	sex	age	allelic_ratio	total_reads	median_allelic_ratio	min_total_reads
chrX	1110012L19Rik	70385912	70389416	+	Br_4w_RNA_XistxC_-+_XX_2	Br	female	Young	1	49	1	21
chrX	1110012L19Rik	70385912	70389416	+	Br_4w_RNA_XistxC_-+_XX_1	Br	female	Young	1	21	1	21
chrX	1110012L19Rik	70385912	70389416	+	Br_4w_RNA_XistxC_-+_XX_3	Br	female	Young	1	65	1	21
chrX	1110012L19Rik	70385912	70389416	+	Br_4w_RNA_XistxC_+y_XY_2	Br	male	Young	1	28	1	28
chrX	1110012L19Rik	70385912	70389416	+	Br_4w_RNA_XistxC_+y_XY_1	Br	male	Young	1	36	1	28
chrX	1110012L19Rik	70385912	70389416	+	Br_4w_RNA_XistxC_+y_XY_3	Br	male	Young	1	42	1	28
chrX	1110012L19Rik	70385912	70389416	+	He_4w_RNA_XistxC_+y_XY_3	He	male	Young	1	28	1	28
chrX	1110012L19Rik	70385912	70389416	+	He_4w_RNA_XistxC_+y_XY_2	He	male	Young	1	41	1	28
chrX	1110012L19Rik	70385912	70389416	+	He_4w_RNA_XistxC_+y_XY_1	He	male	Young	1	29	1	28
chrX	1110012L19Rik	70385912	70389416	+	Ki_4w_RNA_XistxC_-+_XX_1	Ki	female	Young	1	42	1	37
chrX	1110012L19Rik	70385912	70389416	+	Ki_4w_RNA_XistxC_-+_XX_2	Ki	female	Young	1	37	1	37
chrX	1110012L19Rik	70385912	70389416	+	Ki_4w_RNA_XistxC_-+_XX_3	Ki	female	Young	1	65	1	37
chrX	1110012L19Rik	70385912	70389416	+	Ki_4w_RNA_XistxC_+y_XY_2	Ki	male	Young	1	51	1	48
chrX	1110012L19Rik	70385912	70389416	+	Ki_4w_RNA_XistxC_+y_XY_1	Ki	male	Young	1	48	1	48
chrX	1110012L19Rik	70385912	70389416	+	Ki_4w_RNA_XistxC_+y_XY_3	Ki	male	Young	1	57	1	48
chrX	1110012L19Rik	70385912	70389416	+	Li_4w_RNA_XistxC_-+_XX_1	Li	female	Young	1	45	1	37
chrX	1110012L19Rik	70385912	70389416	+	Li_4w_RNA_XistxC_-+_XX_3	Li	female	Young	1	44	1	37
chrX	1110012L19Rik	70385912	70389416	+	Li_4w_RNA_XistxC_-+_XX_2	Li	female	Young	1	37	1	37
chrX	1110012L19Rik	70385912	70389416	+	Li_4w_RNA_XistxC_+y_XY_1	Li	male	Young	1	36	1	35
chrX	1110012L19Rik	70385912	70389416	+	Li_4w_RNA_XistxC_+y_XY_3	Li	male	Young	1	35	1	35
chrX	1110012L19Rik	70385912	70389416	+	Li_4w_RNA_XistxC_+y_XY_2	Li	male	Young	1	54	1	35
chrX	1110012L19Rik	70385912	70389416	+	Lu_4w_RNA_XistxC_-+_XX_1	Lu	female	Young	1	58	1	57
chrX	1110012L19Rik	70385912	70389416	+	Lu_4w_RNA_XistxC_-+_XX_3	Lu	female	Young	1	57	1	57
chrX	1110012L19Rik	70385912	70389416	+	Lu_4w_RNA_XistxC_-+_XX_2	Lu	female	Young	1	58	1	57
chrX	1110012L19Rik	70385912	70389416	+	Lu_4w_RNA_XistxC_+y_XY_2	Lu	male	Young	1	69	1	53
chrX	1110012L19Rik	70385912	70389416	+	Lu_4w_RNA_XistxC_+y_XY_1	Lu	male	Young	1	65	1	53
chrX	1110012L19Rik	70385912	70389416	+	Lu_4w_RNA_XistxC_+y_XY_3	Lu	male	Young	1	53	1	53
chrX	1110012L19Rik	70385912	70389416	+	Mu_4w_RNA_XistxC_-+_XX_1	Mu	female	Young	1	50	1	50
chrX	1110012L19Rik	70385912	70389416	+	Mu_4w_RNA_XistxC_-+_XX_3	Mu	female	Young	1	55	1	50
chrX	1110012L19Rik	70385912	70389416	+	Mu_4w_RNA_XistxC_-+_XX_2	Mu	female	Young	1	58	1	50
chrX	1110012L19Rik	70385912	70389416	+	Mu_4w_RNA_XistxC_+y_XY_1	Mu	male	Young	1	44	1	44
chrX	1110012L19Rik	70385912	70389416	+	Mu_4w_RNA_XistxC_+y_XY_3	Mu	male	Young	1	44	1	44
chrX	1110012L19Rik	70385912	70389416	+	Mu_4w_RNA_XistxC_+y_XY_2	Mu	male	Young	1	76	1	44
chrX	1110012L19Rik	70385912	70389416	+	Sp_4w_RNA_XistxC_-+_XX_2	Sp	female	Young	1	36	1	36
chrX	1110012L19Rik	70385912	70389416	+	Sp_4w_RNA_XistxC_-+_XX_1	Sp	female	Young	1	37	1	36
chrX	1110012L19Rik	70385912	70389416	+	Sp_4w_RNA_XistxC_-+_XX_3	Sp	female	Young	1	36	1	36
chrX	1110012L19Rik	70385912	70389416	+	Sp_4w_RNA_XistxC_+y_XY_2	Sp	male	Young	1	36	1	27
chrX	1110012L19Rik	70385912	70389416	+	Sp_4w_RNA_XistxC_+y_XY_3	Sp	male	Young	1	27	1	27
chrX	1110012L19Rik	70385912	70389416	+	Sp_4w_RNA_XistxC_+y_XY_1	Sp	male	Young	1	53	1	27
chrX	1810030O07Rik	12654878	12675377	-	Br_4w_RNA_XistxC_-+_XX_1	Br	female	Young	0,99	125	0,99	125
chrX	1810030O07Rik	12654878	12675377	-	Br_4w_RNA_XistxC_-+_XX_3	Br	female	Young	0,99	135	0,99	125
chrX	1810030O07Rik	12654878	12675377	-	Br_4w_RNA_XistxC_-+_XX_2	Br	female	Young	0,98	130	0,99	125
chrX	1810030O07Rik	12654878	12675377	-	Br_4w_RNA_XistxC_+y_XY_3	Br	male	Young	1	127	1	116
chrX	1810030O07Rik	12654878	12675377	-	Br_4w_RNA_XistxC_+y_XY_1	Br	male	Young	1	116	1	116
chrX	1810030O07Rik	12654878	12675377	-	Br_4w_RNA_XistxC_+y_XY_2	Br	male	Young	1	145	1	116
chrX	1810030O07Rik	12654878	12675377	-	He_4w_RNA_XistxC_-+_XX_3	He	female	Young	0,95	79	0,95	60
chrX	1810030O07Rik	12654878	12675377	-	He_4w_RNA_XistxC_-+_XX_1	He	female	Young	0,95	60	0,95	60
chrX	1810030O07Rik	12654878	12675377	-	He_4w_RNA_XistxC_-+_XX_2	He	female	Young	0,96	75	0,95	60
chrX	1810030O07Rik	12654878	12675377	-	He_4w_RNA_XistxC_+y_XY_2	He	male	Young	1	85	1	62
chrX	1810030O07Rik	12654878	12675377	-	He_4w_RNA_XistxC_+y_XY_1	He	male	Young	1	62	1	62
chrX	1810030O07Rik	12654878	12675377	-	He_4w_RNA_XistxC_+y_XY_3	He	male	Young	1	83	1	62
chrX	1810030O07Rik	12654878	12675377	-	Ki_4w_RNA_XistxC_-+_XX_2	Ki	female	Young	1	54	0,98	54
chrX	1810030O07Rik	12654878	12675377	-	Ki_4w_RNA_XistxC_-+_XX_1	Ki	female	Young	0,98	59	0,98	54
chrX	1810030O07Rik	12654878	12675377	-	Ki_4w_RNA_XistxC_-+_XX_3	Ki	female	Young	0,98	101	0,98	54
chrX	1810030O07Rik	12654878	12675377	-	Ki_4w_RNA_XistxC_+y_XY_1	Ki	male	Young	1	78	1	78
chrX	1810030O07Rik	12654878	12675377	-	Ki_4w_RNA_XistxC_+y_XY_3	Ki	male	Young	1	93	1	78
