chr	name	start	end	strand	sample	organ	sex	age	allelic_ratio	total_reads	median_allelic_ratio	min_total_reads
chrX	1110012L19Rik	70385912	70389416	+	Br_E14-5_RNA_XistBxC_-+_XX_2	Br	female	Embryonic	1	88	1	88
chrX	1110012L19Rik	70385912	70389416	+	Br_E14-5_RNA_XistBxC_-+_XX_1	Br	female	Embryonic	1	97	1	88
chrX	1110012L19Rik	70385912	70389416	+	Br_E14-5_RNA_XistBxC_-+_XX_3	Br	female	Embryonic	1	113	1	88
chrX	1110012L19Rik	70385912	70389416	+	He_E14-5_RNA_XistBxC_-+_XX_1	He	female	Embryonic	1	70	1	70
chrX	1110012L19Rik	70385912	70389416	+	He_E14-5_RNA_XistBxC_-+_XX_2	He	female	Embryonic	1	103	1	70
chrX	1110012L19Rik	70385912	70389416	+	He_E14-5_RNA_XistBxC_-+_XX_3	He	female	Embryonic	1	80	1	70
chrX	1110012L19Rik	70385912	70389416	+	Ki_E14-5_RNA_XistBxC_-+_XX_2	Ki	female	Embryonic	1	66	1	66
chrX	1110012L19Rik	70385912	70389416	+	Ki_E14-5_RNA_XistBxC_-+_XX_3	Ki	female	Embryonic	1	67	1	66
chrX	1110012L19Rik	70385912	70389416	+	Ki_E14-5_RNA_XistBxC_-+_XX_1	Ki	female	Embryonic	1	111	1	66
chrX	1110012L19Rik	70385912	70389416	+	Li_E14-5_RNA_XistBxC_-+_XX_3	Li	female	Embryonic	1	65	1	46
chrX	1110012L19Rik	70385912	70389416	+	Li_E14-5_RNA_XistBxC_-+_XX_1	Li	female	Embryonic	1	46	1	46
chrX	1110012L19Rik	70385912	70389416	+	Li_E14-5_RNA_XistBxC_-+_XX_2	Li	female	Embryonic	1	55	1	46
chrX	1110012L19Rik	70385912	70389416	+	Lu_E14-5_RNA_XistBxC_-+_XX_1	Lu	female	Embryonic	1	105	1	92
chrX	1110012L19Rik	70385912	70389416	+	Lu_E14-5_RNA_XistBxC_-+_XX_2	Lu	female	Embryonic	1	154	1	92
chrX	1110012L19Rik	70385912	70389416	+	Lu_E14-5_RNA_XistBxC_-+_XX_3	Lu	female	Embryonic	1	92	1	92
chrX	1810030O07Rik	12654878	12675377	-	Br_E14-5_RNA_XistBxC_-+_XX_1	Br	female	Embryonic	1	250	1	239
chrX	1810030O07Rik	12654878	12675377	-	Br_E14-5_RNA_XistBxC_-+_XX_3	Br	female	Embryonic	1	274	1	239
chrX	1810030O07Rik	12654878	12675377	-	Br_E14-5_RNA_XistBxC_-+_XX_2	Br	female	Embryonic	1	239	1	239
chrX	1810030O07Rik	12654878	12675377	-	He_E14-5_RNA_XistBxC_-+_XX_2	He	female	Embryonic	1	257	1	238
chrX	1810030O07Rik	12654878	12675377	-	He_E14-5_RNA_XistBxC_-+_XX_3	He	female	Embryonic	1	276	1	238
chrX	1810030O07Rik	12654878	12675377	-	He_E14-5_RNA_XistBxC_-+_XX_1	He	female	Embryonic	0,98	238	1	238
chrX	1810030O07Rik	12654878	12675377	-	Ki_E14-5_RNA_XistBxC_-+_XX_2	Ki	female	Embryonic	1	244	1	244
chrX	1810030O07Rik	12654878	12675377	-	Ki_E14-5_RNA_XistBxC_-+_XX_3	Ki	female	Embryonic	0,98	259	1	244
chrX	1810030O07Rik	12654878	12675377	-	Ki_E14-5_RNA_XistBxC_-+_XX_1	Ki	female	Embryonic	1	321	1	244
chrX	1810030O07Rik	12654878	12675377	-	Li_E14-5_RNA_XistBxC_-+_XX_3	Li	female	Embryonic	1	153	0,99	137
chrX	1810030O07Rik	12654878	12675377	-	Li_E14-5_RNA_XistBxC_-+_XX_2	Li	female	Embryonic	0,99	165	0,99	137
chrX	1810030O07Rik	12654878	12675377	-	Li_E14-5_RNA_XistBxC_-+_XX_1	Li	female	Embryonic	0,99	137	0,99	137
chrX	1810030O07Rik	12654878	12675377	-	Lu_E14-5_RNA_XistBxC_-+_XX_3	Lu	female	Embryonic	1	291	0,99	271
chrX	1810030O07Rik	12654878	12675377	-	Lu_E14-5_RNA_XistBxC_-+_XX_2	Lu	female	Embryonic	0,99	340	0,99	271
chrX	1810030O07Rik	12654878	12675377	-	Lu_E14-5_RNA_XistBxC_-+_XX_1	Lu	female	Embryonic	0,99	271	0,99	271
chrX	2210013O21Rik	153723553	153741296	+	Br_E14-5_RNA_XistBxC_-+_XX_2	Br	female	Embryonic	1	282	1	282
chrX	2210013O21Rik	153723553	153741296	+	Br_E14-5_RNA_XistBxC_-+_XX_1	Br	female	Embryonic	1	298	1	282
chrX	2210013O21Rik	153723553	153741296	+	Br_E14-5_RNA_XistBxC_-+_XX_3	Br	female	Embryonic	1	333	1	282
chrX	2210013O21Rik	153723553	153741296	+	He_E14-5_RNA_XistBxC_-+_XX_1	He	female	Embryonic	0,99	136	0,99	136
chrX	2210013O21Rik	153723553	153741296	+	He_E14-5_RNA_XistBxC_-+_XX_3	He	female	Embryonic	1	227	0,99	136
chrX	2210013O21Rik	153723553	153741296	+	He_E14-5_RNA_XistBxC_-+_XX_2	He	female	Embryonic	0,99	216	0,99	136
chrX	2210013O21Rik	153723553	153741296	+	Ki_E14-5_RNA_XistBxC_-+_XX_1	Ki	female	Embryonic	1	384	1	285
chrX	2210013O21Rik	153723553	153741296	+	Ki_E14-5_RNA_XistBxC_-+_XX_2	Ki	female	Embryonic	1	341	1	285
chrX	2210013O21Rik	153723553	153741296	+	Ki_E14-5_RNA_XistBxC_-+_XX_3	Ki	female	Embryonic	1	285	1	285
chrX	2210013O21Rik	153723553	153741296	+	Li_E14-5_RNA_XistBxC_-+_XX_1	Li	female	Embryonic	1	44	1	44
chrX	2210013O21Rik	153723553	153741296	+	Li_E14-5_RNA_XistBxC_-+_XX_3	Li	female	Embryonic	1	61	1	44
chrX	2210013O21Rik	153723553	153741296	+	Li_E14-5_RNA_XistBxC_-+_XX_2	Li	female	Embryonic	1	65	1	44
chrX	2210013O21Rik	153723553	153741296	+	Lu_E14-5_RNA_XistBxC_-+_XX_1	Lu	female	Embryonic	1	304	1	261
chrX	2210013O21Rik	153723553	153741296	+	Lu_E14-5_RNA_XistBxC_-+_XX_2	Lu	female	Embryonic	1	261	1	261
chrX	2210013O21Rik	153723553	153741296	+	Lu_E14-5_RNA_XistBxC_-+_XX_3	Lu	female	Embryonic	1	328	1	261
