chr	name	start	end	strand	sample	organ	sex	age	allelic_ratio	total_reads	median_allelic_ratio	min_total_reads
chrX	1110012L19Rik	70385912	70389416	+	Br_78w_RNA_XistBxC_-+_XX_3	Br	female	Aged	1	26	1	26
chrX	1110012L19Rik	70385912	70389416	+	Br_78w_RNA_XistBxC_-+_XX_1	Br	female	Aged	1	59	1	26
chrX	1110012L19Rik	70385912	70389416	+	Br_78w_RNA_XistBxC_-+_XX_2	Br	female	Aged	1	27	1	26
chrX	1110012L19Rik	70385912	70389416	+	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	39	1	39
chrX	1110012L19Rik	70385912	70389416	+	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	1	39	1	39
chrX	1110012L19Rik	70385912	70389416	+	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	41	1	39
chrX	1110012L19Rik	70385912	70389416	+	He_78w_RNA_XistBxC_-+_XX_2	He	female	Aged	1	31	1	20
chrX	1110012L19Rik	70385912	70389416	+	He_78w_RNA_XistBxC_-+_XX_1	He	female	Aged	1	43	1	20
chrX	1110012L19Rik	70385912	70389416	+	He_78w_RNA_XistBxC_-+_XX_3	He	female	Aged	1	20	1	20
chrX	1110012L19Rik	70385912	70389416	+	He_78w_RNA_XistBxC_+y_XY_1	He	male	Aged	1	40	1	40
chrX	1110012L19Rik	70385912	70389416	+	He_78w_RNA_XistBxC_+y_XY_3	He	male	Aged	1	53	1	40
chrX	1110012L19Rik	70385912	70389416	+	He_78w_RNA_XistBxC_+y_XY_2	He	male	Aged	1	53	1	40
chrX	1110012L19Rik	70385912	70389416	+	Ki_78w_RNA_XistBxC_-+_XX_2	Ki	female	Aged	1	47	1	27
chrX	1110012L19Rik	70385912	70389416	+	Ki_78w_RNA_XistBxC_-+_XX_3	Ki	female	Aged	1	27	1	27
chrX	1110012L19Rik	70385912	70389416	+	Ki_78w_RNA_XistBxC_-+_XX_1	Ki	female	Aged	1	37	1	27
chrX	1110012L19Rik	70385912	70389416	+	Ki_78w_RNA_XistBxC_+y_XY_2	Ki	male	Aged	1	49	1	49
chrX	1110012L19Rik	70385912	70389416	+	Ki_78w_RNA_XistBxC_+y_XY_3	Ki	male	Aged	1	53	1	49
chrX	1110012L19Rik	70385912	70389416	+	Ki_78w_RNA_XistBxC_+y_XY_1	Ki	male	Aged	1	94	1	49
chrX	1110012L19Rik	70385912	70389416	+	Li_78w_RNA_XistBxC_-+_XX_2	Li	female	Aged	1	29	1	29
chrX	1110012L19Rik	70385912	70389416	+	Li_78w_RNA_XistBxC_-+_XX_3	Li	female	Aged	1	52	1	29
chrX	1110012L19Rik	70385912	70389416	+	Li_78w_RNA_XistBxC_-+_XX_1	Li	female	Aged	1	45	1	29
chrX	1110012L19Rik	70385912	70389416	+	Li_78w_RNA_XistBxC_+y_XY_3	Li	male	Aged	1	36	1	36
chrX	1110012L19Rik	70385912	70389416	+	Li_78w_RNA_XistBxC_+y_XY_2	Li	male	Aged	1	44	1	36
chrX	1110012L19Rik	70385912	70389416	+	Li_78w_RNA_XistBxC_+y_XY_1	Li	male	Aged	1	42	1	36
chrX	1110012L19Rik	70385912	70389416	+	Lu_78w_RNA_XistBxC_-+_XX_2	Lu	female	Aged	1	39	1	25
chrX	1110012L19Rik	70385912	70389416	+	Lu_78w_RNA_XistBxC_-+_XX_3	Lu	female	Aged	1	25	1	25
chrX	1110012L19Rik	70385912	70389416	+	Lu_78w_RNA_XistBxC_-+_XX_1	Lu	female	Aged	1	35	1	25
chrX	1110012L19Rik	70385912	70389416	+	Lu_78w_RNA_XistBxC_+y_XY_2	Lu	male	Aged	1	63	1	56
chrX	1110012L19Rik	70385912	70389416	+	Lu_78w_RNA_XistBxC_+y_XY_3	Lu	male	Aged	1	72	1	56
chrX	1110012L19Rik	70385912	70389416	+	Lu_78w_RNA_XistBxC_+y_XY_1	Lu	male	Aged	1	56	1	56
