chr	name	start	end	sample	celltype	sex	age	allelic_ratio	total_reads	median_allelic_ratio	min_total_reads
chrX	1110012L19Rik	70385912	70389416	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	1	263	1	182
chrX	1110012L19Rik	70385912	70389416	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	1	182	1	182
chrX	1110012L19Rik	70385912	70389416	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	1	268	1	182
chrX	1110012L19Rik	70385912	70389416	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	272	1	224
chrX	1110012L19Rik	70385912	70389416	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	1	224	1	224
chrX	1110012L19Rik	70385912	70389416	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	320	1	224
chrX	1110012L19Rik	70385912	70389416	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	1	134	1	134
chrX	1110012L19Rik	70385912	70389416	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	1	146	1	134
chrX	1110012L19Rik	70385912	70389416	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	1	140	1	134
chrX	1110012L19Rik	70385912	70389416	CM_9w_RNA_XBxC_+y_XY_2	CM	male	Adult	1	141	1	138
chrX	1110012L19Rik	70385912	70389416	CM_9w_RNA_XBxC_+y_XY_3	CM	male	Adult	1	143	1	138
chrX	1110012L19Rik	70385912	70389416	CM_9w_RNA_XBxC_+y_XY_1	CM	male	Adult	1	138	1	138
chrX	1110012L19Rik	70385912	70389416	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	1	164	1	142
chrX	1110012L19Rik	70385912	70389416	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	1	142	1	142
chrX	1110012L19Rik	70385912	70389416	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	1	146	1	142
chrX	1110012L19Rik	70385912	70389416	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	185	1	185
chrX	1110012L19Rik	70385912	70389416	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	251	1	185
chrX	1110012L19Rik	70385912	70389416	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	195	1	185
chrX	1110012L19Rik	70385912	70389416	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	1	103	1	75
chrX	1110012L19Rik	70385912	70389416	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	1	75	1	75
chrX	1110012L19Rik	70385912	70389416	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	1	118	1	75
chrX	1110012L19Rik	70385912	70389416	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	101	1	69
chrX	1110012L19Rik	70385912	70389416	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	120	1	69
chrX	1110012L19Rik	70385912	70389416	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	69	1	69
chrX	1810030O07Rik	12654878	12675377	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	0,83	227	0,85	227
chrX	1810030O07Rik	12654878	12675377	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	0,97	348	0,85	227
chrX	1810030O07Rik	12654878	12675377	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	0,85	227	0,85	227
chrX	1810030O07Rik	12654878	12675377	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	252	1	166
chrX	1810030O07Rik	12654878	12675377	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	243	1	166
chrX	1810030O07Rik	12654878	12675377	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	1	166	1	166
chrX	1810030O07Rik	12654878	12675377	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	1	128	1	119
chrX	1810030O07Rik	12654878	12675377	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	0,99	148	1	119
chrX	1810030O07Rik	12654878	12675377	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	1	119	1	119
chrX	1810030O07Rik	12654878	12675377	CM_9w_RNA_XBxC_+y_XY_1	CM	male	Adult	1	97	1	97
chrX	1810030O07Rik	12654878	12675377	CM_9w_RNA_XBxC_+y_XY_3	CM	male	Adult	1	139	1	97
chrX	1810030O07Rik	12654878	12675377	CM_9w_RNA_XBxC_+y_XY_2	CM	male	Adult	0,99	110	1	97
chrX	1810030O07Rik	12654878	12675377	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	0,98	230	0,97	201
chrX	1810030O07Rik	12654878	12675377	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	0,97	201	0,97	201
chrX	1810030O07Rik	12654878	12675377	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	0,94	286	0,97	201
chrX	1810030O07Rik	12654878	12675377	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	247	1	217
chrX	1810030O07Rik	12654878	12675377	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	217	1	217
