chr	name	start	end	sample	celltype	sex	age	allelic_ratio	total_reads	median_allelic_ratio	min_total_reads	miRNA_overlap
chrX	Apex2	150503628	150588208	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	0,98	49	0,98	30	mmu-mir-3620
chrX	Apex2	150503628	150588208	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	0,97	78	0,98	30	mmu-mir-3620
chrX	Armcx5	135742691	135747328	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	0,95	73	1	49	mmu-mir-7646
chrX	Atp11c	60223282	60404861	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	0,94	34	0,95	34	mmu-mir-505
chrX	Atp11c	60223282	60404861	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	0,95	58	0,95	34	mmu-mir-505
chrX	Atp11c	60223282	60404861	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	0,99	141	1	141	mmu-mir-505
chrX	Atp11c	60223282	60404861	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	0,98	87	0,99	86	mmu-mir-505
chrX	Atp11c	60223282	60404861	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	0,99	146	0,99	86	mmu-mir-505
chrX	Chm	113040591	113185539	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	0,91	32	1	20	mmu-mir-361
chrX	Chm	113040591	113185539	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	0,97	72	1	62	mmu-mir-361
chrX	Chm	113040591	113185539	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	0,89	27	1	27	mmu-mir-361
chrX	Clcn5	7153809	7319359	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	0,96	57	1	46	mmu-mir-500,mmu-mir-501,mmu-mir-362,mmu-mir-188,mmu-mir-532
chrX	F630028O10Rik	96239925	96243642	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	0,99	623	0,99	567	mmu-mir-223
chrX	F630028O10Rik	96239925	96243642	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	0,99	567	0,99	567	mmu-mir-223
