chr	name	start	end	strand	sample	organ	sex	age	allelic_ratio	total_reads	median_allelic_ratio	min_total_reads
chrX	1110012L19Rik	70385912	70389416	+	Br_9w_RNA_XistxC_-+_XX_1	Br	female	Adult	1	34	1	34
chrX	1110012L19Rik	70385912	70389416	+	Br_9w_RNA_XistxC_-+_XX_3	Br	female	Adult	1	45	1	34
chrX	1110012L19Rik	70385912	70389416	+	Br_9w_RNA_XistxC_-+_XX_2	Br	female	Adult	1	46	1	34
chrX	1110012L19Rik	70385912	70389416	+	Br_9w_RNA_XistxC_+y_XY_2	Br	male	Adult	1	58	1	28
chrX	1110012L19Rik	70385912	70389416	+	Br_9w_RNA_XistxC_+y_XY_1	Br	male	Adult	1	41	1	28
chrX	1110012L19Rik	70385912	70389416	+	Br_9w_RNA_XistxC_+y_XY_3	Br	male	Adult	1	28	1	28
chrX	1110012L19Rik	70385912	70389416	+	He_9w_RNA_XistxC_-+_XX_1	He	female	Adult	1	53	1	32
chrX	1110012L19Rik	70385912	70389416	+	He_9w_RNA_XistxC_-+_XX_2	He	female	Adult	1	66	1	32
chrX	1110012L19Rik	70385912	70389416	+	He_9w_RNA_XistxC_-+_XX_3	He	female	Adult	1	32	1	32
chrX	1110012L19Rik	70385912	70389416	+	He_9w_RNA_XistxC_+y_XY_2	He	male	Adult	1	52	1	33
chrX	1110012L19Rik	70385912	70389416	+	He_9w_RNA_XistxC_+y_XY_1	He	male	Adult	1	54	1	33
chrX	1110012L19Rik	70385912	70389416	+	He_9w_RNA_XistxC_+y_XY_3	He	male	Adult	1	33	1	33
chrX	1110012L19Rik	70385912	70389416	+	Ki_9w_RNA_XistxC_-+_XX_3	Ki	female	Adult	1	62	1	53
chrX	1110012L19Rik	70385912	70389416	+	Ki_9w_RNA_XistxC_-+_XX_1	Ki	female	Adult	1	70	1	53
chrX	1110012L19Rik	70385912	70389416	+	Ki_9w_RNA_XistxC_-+_XX_2	Ki	female	Adult	1	53	1	53
chrX	1110012L19Rik	70385912	70389416	+	Ki_9w_RNA_XistxC_+y_XY_3	Ki	male	Adult	1	61	1	57
chrX	1110012L19Rik	70385912	70389416	+	Ki_9w_RNA_XistxC_+y_XY_1	Ki	male	Adult	1	57	1	57
chrX	1110012L19Rik	70385912	70389416	+	Ki_9w_RNA_XistxC_+y_XY_2	Ki	male	Adult	1	75	1	57
chrX	1110012L19Rik	70385912	70389416	+	Li_9w_RNA_XistxC_-+_XX_1	Li	female	Adult	1	46	1	46
chrX	1110012L19Rik	70385912	70389416	+	Li_9w_RNA_XistxC_-+_XX_3	Li	female	Adult	1	64	1	46
chrX	1110012L19Rik	70385912	70389416	+	Li_9w_RNA_XistxC_-+_XX_2	Li	female	Adult	1	70	1	46
chrX	1110012L19Rik	70385912	70389416	+	Li_9w_RNA_XistxC_+y_XY_1	Li	male	Adult	1	34	1	34
chrX	1110012L19Rik	70385912	70389416	+	Li_9w_RNA_XistxC_+y_XY_2	Li	male	Adult	1	64	1	34
chrX	1110012L19Rik	70385912	70389416	+	Li_9w_RNA_XistxC_+y_XY_3	Li	male	Adult	1	48	1	34
chrX	1110012L19Rik	70385912	70389416	+	Lu_9w_RNA_XistxC_-+_XX_3	Lu	female	Adult	1	105	1	76
chrX	1110012L19Rik	70385912	70389416	+	Lu_9w_RNA_XistxC_-+_XX_2	Lu	female	Adult	1	76	1	76
chrX	1110012L19Rik	70385912	70389416	+	Lu_9w_RNA_XistxC_-+_XX_1	Lu	female	Adult	1	87	1	76
chrX	1110012L19Rik	70385912	70389416	+	Lu_9w_RNA_XistxC_+y_XY_2	Lu	male	Adult	1	103	1	85
chrX	1110012L19Rik	70385912	70389416	+	Lu_9w_RNA_XistxC_+y_XY_3	Lu	male	Adult	1	85	1	85
chrX	1110012L19Rik	70385912	70389416	+	Lu_9w_RNA_XistxC_+y_XY_1	Lu	male	Adult	1	85	1	85
chrX	1110012L19Rik	70385912	70389416	+	Mu_9w_RNA_XistxC_-+_XX_3	Mu	female	Adult	1	85	1	63
chrX	1110012L19Rik	70385912	70389416	+	Mu_9w_RNA_XistxC_-+_XX_2	Mu	female	Adult	1	112	1	63
chrX	1110012L19Rik	70385912	70389416	+	Mu_9w_RNA_XistxC_-+_XX_1	Mu	female	Adult	1	63	1	63
